💥央视频道,#genre#
CCTV1,http://39.135.126.66:6610/PLTV/11/224/3221226721/index.m3u8?servicetype=1	  
CCTV2,http://39.135.126.66:6610/PLTV/11/224/3221226711/index.m3u8?servicetype=1
CCTV3,http://39.135.126.66:6610/PLTV/11/224/3221227402/index.m3u8?servicetype=1
CCTV4,http://39.135.126.66:6610/PLTV/11/224/3221226899/index.m3u8?servicetype=1
CCTV5,http://39.135.126.66:6610/PLTV/11/224/3221227338/index.m3u8?servicetype=1
CCTV5+,http://39.135.126.66:6610/PLTV/11/224/3221226745/index.m3u8?servicetype=1
CCTV5+,http://39.135.126.66:6610/PLTV/11/224/3221227236/index.m3u8?servicetype=1
CCTV6,http://39.135.126.66:6610/PLTV/11/224/3221227221/index.m3u8?servicetype=1
CCTV7,http://39.135.126.66:6610/PLTV/11/224/3221227350/index.m3u8?servicetype=1
CCTV8,http://39.135.126.66:6610/PLTV/11/224/3221227325/index.m3u8?servicetype=1
CCTV8,http://39.135.126.66:6610/PLTV/11/224/3221227466/index.m3u8?servicetype=1
CCTV9,http://39.135.126.66:6610/PLTV/11/224/3221226734/index.m3u8?servicetype=1
CCTV9,http://39.135.126.66:6610/PLTV/11/224/3221227337/index.m3u8?servicetype=1
CCTV10,http://39.135.126.66:6610/PLTV/11/224/3221226702/index.m3u8?servicetype=1
CCTV11,http://39.135.126.66:6610/PLTV/11/224/3221226753/index.m3u8?servicetype=1
CCTV12,http://39.135.126.66:6610/PLTV/11/224/3221226736/index.m3u8?servicetype=1
CCTV13,http://39.135.126.66:6610/PLTV/11/224/3221226729/index.m3u8?servicetype=1
CCTV14,http://39.135.126.66:6610/PLTV/11/224/3221226720/index.m3u8?servicetype=1
CCTV15,http://39.135.126.66:6610/PLTV/11/224/3221226796/index.m3u8?servicetype=1
CCTV16,http://39.135.126.66:6610/PLTV/11/224/3221227346/index.m3u8?servicetype=1
CCTV17,http://39.135.126.66:6610/PLTV/11/224/3221226841/index.m3u8?servicetype=1
CHC动作电影,http://39.135.126.66:6610/PLTV/11/224/3221227432/index.m3u8?servicetype=1
CHC影迷电影,http://39.135.126.66:6610/PLTV/11/224/3221227490/index.m3u8?servicetype=1
CHC家庭影院,http://39.135.126.66:6610/PLTV/11/224/3221227368/index.m3u8?servicetype=1
💥卫视频道,#genre#
辽宁卫视,http://39.135.126.66:6610/PLTV/11/224/3221226731/index.m3u8?servicetype=1
黑龙江卫视,http://39.135.126.66:6610/PLTV/11/224/3221226749/index.m3u8?servicetype=1
湖南卫视,http://39.135.126.66:6610/PLTV/11/224/3221226727/index.m3u8?servicetype=1
浙江卫视,http://39.135.126.66:6610/PLTV/11/224/3221226795/index.m3u8?servicetype=1
江苏卫视,http://39.135.126.66:6610/PLTV/11/224/3221226902/index.m3u8?servicetype=1
安徽卫视,http://39.135.126.66:6610/PLTV/11/224/3221226746/index.m3u8?servicetype=1
湖北卫视,http://39.135.126.66:6610/PLTV/11/224/3221226705/index.m3u8?servicetype=1
山东卫视,http://39.135.126.66:6610/PLTV/11/224/3221226739/index.m3u8?servicetype=1
广东卫视,http://39.135.126.66:6610/PLTV/11/224/3221226743/index.m3u8?servicetype=1
深圳卫视,http://39.135.126.66:6610/PLTV/11/224/3221226725/index.m3u8?servicetype=1
北京卫视,http://39.135.126.66:6610/PLTV/11/224/3221226724/index.m3u8?servicetype=1
天津卫视,http://39.135.126.66:6610/PLTV/11/224/3221226742/index.m3u8?servicetype=1
东方卫视,http://39.135.126.66:6610/PLTV/11/224/3221226733/index.m3u8?servicetype=1
四川卫视,http://39.135.126.66:6610/PLTV/11/224/3221226728/index.m3u8?servicetype=1
重庆卫视,http://39.135.126.66:6610/PLTV/11/224/3221226737/index.m3u8?servicetype=1
吉林卫视,http://39.135.126.66:6610/PLTV/11/224/3221227310/index.m3u8?servicetype=1
广西卫视,http://39.135.126.66:6610/PLTV/11/224/3221226830/index.m3u8?servicetype=1
江西卫视,http://39.135.126.66:6610/PLTV/11/224/3221226788/index.m3u8?servicetype=1
河北卫视,http://39.135.126.66:6610/PLTV/11/224/3221226774/index.m3u8?servicetype=1
河南卫视,http://39.135.126.66:6610/PLTV/11/224/3221226791/index.m3u8?servicetype=1
东南卫视,http://39.135.126.66:6610/PLTV/11/224/3221226784/index.m3u8?servicetype=1
云南卫视,http://39.135.126.66:6610/PLTV/11/224/3221226816/index.m3u8?servicetype=1
贵州卫视,http://39.135.126.66:6610/PLTV/11/224/3221226874/index.m3u8?servicetype=1
宁夏卫视,http://39.135.126.66:6610/PLTV/11/224/3221226804/index.m3u8?servicetype=1
新疆卫视,http://39.135.126.66:6610/PLTV/11/224/3221226893/index.m3u8?servicetype=1
西藏卫视,http://39.135.126.66:6610/PLTV/11/224/3221226896/index.m3u8?servicetype=1
兵团卫视,http://39.135.126.66:6610/PLTV/11/224/3221226859/index.m3u8?servicetype=1
海南卫视,http://39.135.126.66:6610/PLTV/11/224/3221226801/index.m3u8?servicetype=1
北京卫视,http://39.135.126.66:6610/PLTV/11/224/3221226823/index.m3u8?servicetype=1
天津卫视,http://39.135.126.66:6610/PLTV/11/224/3221226890/index.m3u8?servicetype=1
湖南卫视,http://39.135.126.66:6610/PLTV/11/224/3221226772/index.m3u8?servicetype=1
